text,label
['information technology doesnt matter how good your grades follow beaver state if you accept a high intelligence quotient if you lack logic reason and vulgar good sense youre fucking stupid'],2
['you just go wide laughingstock fucker never go total goat fucker'],2
['early countries to china puri duniya chi maa chd di bhenchd tune'],2
['you talk comparable a fairy and your shits all retarded'],1
['slipped and hit the bathing tub immediately everyone is asking if things be okay at menage'],3
['i will drink down this white man ooo wwe fans'],3
my pockets after i waste my money on stupid stuff,2
yeh bol rha hai thode se democrats khareed ke trump ki sarkar banwa dete hai,0
['lol she thinks shes a capricorn'],2
"[""i have ne'er exist afraid of ghists and horro movies but this shit use to scare pine tree state comparable hell""]",3
['rohit'],3
['gentle giantikunaal if abhishek wasnt bachchanabhishek bachchan juniorbachchan replying toikunaal hahahahafunnybut however better looking than you'],1
romantic dramas belike i love you sorry i dont love you i have cancer now ok now i love you,0
['glad birthday ya lil goat fucker'],2
['if youre protesting against this man chit chat the uk simply protesting for this woman to return to the uk then youre a particular variety of unintelligent'],2
['when dude examine to be funny at the nightspot im sorry is this some form of peasant laugh that im too rich to understand'],1
['just a visti to solarize night time with my brotherhaters gonna say photoshop one am going to donate my eyes bc'],2
['life have never given me lemons information technology has given me anger issues anxiety a beloved for inebriant a serious dislike for unintelligent people but not lemon'],2
['girls gonna bring moving picture corresponding this and still detest on each other'],2
['i conceive its funny to huckster over price with hookers when youre just going to belt down them in any event'],3
['petrol toll hits in india boy who have ktm boys world health organization throw bicycle'],3
['i dont get it on who gave my small fry a whistle merely i will find you and i will kill you'],3
['about my page at that place will be crap you dont similar im going to brand it anyway'],1
friendship ended with trump now biden is my best friend,0
['yeah bitches bolt down mottle'],2
['hmmm lets see what kind of confederacy theory can i get those white trash following of mine to fall for side by side'],3
this guy grabs your girls ass in the bar what do you do,0
hello im mark zuckerberg and im a no good cock sucker,1
['60 minutes ago karnataka residents burst firecrackers to celebrate the reopening of liquor shops mxplayer bevda gaand fate toh portion par nawabi na ghate'],2
['nobody arabic talk show right break of day i hate char'],2
['i dont understand your specific form of stunned merely i do admire your total committedness to it'],2
['deep the stupid run swallow your mother should have'],2
getting married replying to insta stories scoopwhoopcom,0
binod t rending everywhere meanwhile binod  thodi to maryada rkhiye,0
